program_idx,program_name,program_category,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative
,,,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
0,同一车厢不同温度模式,舒适度-温度,100,0.43135597670000003,0.27849296999999995,0.2768203877058976,0.15504982,0.9397342,100,0.3268903821,0.30789632,0.09697608958647193,0.18827386,0.6636144,100,0.67511019355,0.866330355,0.33418181182683143,0.056140255,0.9620483
1,智能动态地图显示系统,信息服务,100,0.5699581673499999,0.6924327299999999,0.2860152292476033,0.122975655,0.9567786,100,0.3896117166,0.390865275,0.1292606308048053,0.15172018,0.7009339,100,0.47009169382000005,0.293982265,0.3455042027141711,0.04362235,0.9590124
2,车厢拥挤度智能显示系统,信息服务,100,0.45593925009999997,0.252658135,0.31544700252335806,0.13957988,0.9567786,100,0.3575273835,0.33390717000000003,0.13713182822968906,0.17796932,0.73235536,100,0.6068745197100001,0.78417993,0.36791415465854377,0.044797245,0.9658542
3,实现BOM第三方支付,配套设施-票务服务,100,0.494854133,0.289664925,0.3255731150703744,0.10802452,0.9474596,100,0.388684741,0.32926966,0.1569549483020569,0.17796932,0.714344,100,0.54844669887,0.63914078,0.385795467958067,0.044797245,0.9609563
4,"成功推出""深圳通""乘车码",配套设施-票务服务,100,0.5832788149,0.75738895,0.3210288073644348,0.09071481,0.9483141,100,0.41999604599999996,0.42828805000000003,0.15234495852161886,0.1693397,0.6883077,100,0.42695439776,0.194817385,0.37302334164714973,0.055716638,0.9609563
5,完成82个站点卫生间改造,配套设施-卫生间,100,0.3307740967,0.1841695,0.2730609345257662,0.09365386,0.93893695,100,0.41263085340000005,0.3843201,0.1574230934400464,0.17704757,0.7057169,100,0.71157456144,0.83641607,0.28948191880253754,0.05539726,0.96364933
6,在高新园站安装钢梯,拥挤度,100,0.38665757035,0.22184512,0.2967997643585368,0.09071481,0.946872,100,0.33459545570000004,0.29008026,0.1189064086238822,0.17796932,0.64227915,100,0.68866436765,0.90328184,0.333545970047935,0.08750734,0.963557
8,实施免费乘车和优惠乘车,票价,100,0.25966159716,0.18330806500000002,0.1817111088713443,0.119774766,0.9522058,100,0.41176496999999995,0.4050932,0.12732858640346387,0.1837493,0.68367183,100,0.7909949227999999,0.8476764999999999,0.21214699543002993,0.08658888,0.95834804
9,"启动""侧门手持机""项目",人员,100,0.25741516497,0.18484267999999998,0.20467359419247994,0.0896215,0.946872,100,0.35594865919999996,0.33387896,0.1163577563883722,0.20795237,0.68279594,100,0.8260030259,0.914789625,0.22986914130748903,0.07360006,0.96162945
10,"实施""宜年卡""入境",配套设施,100,0.56616713826,0.656162625,0.3466955807671612,0.121209756,0.94739044,100,0.29967337,0.26322004,0.10529382890356535,0.17074017,0.6762451,100,0.50923773436,0.36493668999999995,0.39718596221833,0.06608903,0.9609044
11,7号线压缩地铁行车间隔,发车频率,100,0.3046260851,0.212654245,0.21462816472920931,0.1297135,0.946872,100,0.3710905363,0.34698871,0.13960715818911185,0.20279941,0.6685229,100,0.76124055975,0.90444832,0.25554270802516255,0.050873075,0.9635972
